epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.0387,1.19257,0.925,1,0.55335,0.000232195,0.000232195,0.000232195
2,42.3758,0.61192,0.975,1,0.14731,0.00044692,0.00044692,0.00044692
3,65.5322,0.39564,0.975,1,0.11636,0.000638084,0.000638084,0.000638084
4,88.2738,0.36521,0.975,1,0.1333,0.000607971,0.000607971,0.000607971
5,109.921,0.29506,0.9875,1,0.06302,0.000572628,0.000572628,0.000572628
6,132.868,0.27775,0.9875,1,0.08102,0.000537285,0.000537285,0.000537285
7,155.173,0.28086,0.9625,1,0.0831,0.000501942,0.000501942,0.000501942
8,180.627,0.24502,0.975,1,0.10217,0.000466599,0.000466599,0.000466599
9,208.976,0.2383,0.9875,1,0.0753,0.000431256,0.000431256,0.000431256
10,232.254,0.23653,0.975,1,0.09833,0.000395913,0.000395913,0.000395913
11,254.63,0.20541,0.95,1,0.12304,0.00036057,0.00036057,0.00036057
12,277.543,0.19831,0.975,1,0.07025,0.000325227,0.000325227,0.000325227
13,301.115,0.18699,0.9875,1,0.06379,0.000289884,0.000289884,0.000289884
14,324.865,0.21622,0.9875,1,0.06563,0.000254541,0.000254541,0.000254541
15,349.846,0.16507,0.9875,1,0.05948,0.000219198,0.000219198,0.000219198
16,372.945,0.17289,0.9875,1,0.05522,0.000183855,0.000183855,0.000183855
17,396.085,0.1694,0.9875,1,0.05576,0.000148512,0.000148512,0.000148512
18,418.014,0.15459,0.975,1,0.08266,0.000113169,0.000113169,0.000113169
19,439.565,0.14574,0.9875,1,0.05703,7.7826e-05,7.7826e-05,7.7826e-05
20,461.566,0.16329,0.9875,1,0.05206,4.2483e-05,4.2483e-05,4.2483e-05
